claim_id,case_id,agent,claim_text,evidence_id,support_level,validator_status,validator_reason,reviewed_by,reviewed_at,source_id,synthetic_flag
CLM-00001,CASE-2026-001,Product,Bộ giải pháp giao dịch có thể tiếp tục đánh giá ở bước hiện tại.,EVD-00001,supported,passed,Evidence is present and within mock validity window.,RISK-01,2026-07-17T08:30:00+07:00,SRC-PROP-001,true
CLM-00002,CASE-2026-001,Legal,Chưa đủ căn cứ kết luận đủ điều kiện do còn thiếu hồ sơ trọng yếu.,EVD-00002,partial,passed,Missing or invalid mandatory evidence.,RISK-01,2026-07-17T08:30:00+07:00,SRC-PROP-001,true
CLM-00003,CASE-2026-001,Operations,Operations nên tạo task bổ sung và giữ case ở pending_information.,EVD-00003,supported,passed,Evidence is present and within mock validity window.,RISK-01,2026-07-17T08:30:00+07:00,SRC-PROP-001,true
CLM-00004,CASE-2026-002,Product,Bộ giải pháp giao dịch có thể tiếp tục đánh giá ở bước hiện tại.,EVD-00006,supported,passed,Evidence is present and within mock validity window.,RISK-01,2026-07-17T08:30:00+07:00,SRC-PROP-001,true
CLM-00005,CASE-2026-002,Legal,Các kiểm tra pháp lý cơ bản đã có evidence mô phỏng hỗ trợ.,EVD-00007,supported,passed,Evidence is present and within mock validity window.,RISK-01,2026-07-17T08:30:00+07:00,SRC-PROP-001,true
CLM-00006,CASE-2026-002,Operations,Operations có thể chuẩn bị action tiếp theo sau khi qua approval gate.,EVD-00008,supported,passed,Evidence is present and within mock validity window.,RISK-01,2026-07-17T08:30:00+07:00,SRC-PROP-001,true
CLM-00007,CASE-2026-003,Product,Bộ giải pháp giao dịch có thể tiếp tục đánh giá ở bước hiện tại.,EVD-00011,supported,passed,Evidence is present and within mock validity window.,RISK-01,2026-07-17T08:30:00+07:00,SRC-PROP-001,true
CLM-00008,CASE-2026-003,Legal,Chưa đủ căn cứ kết luận đủ điều kiện do còn thiếu hồ sơ trọng yếu.,EVD-00012,partial,passed,Missing or invalid mandatory evidence.,RISK-01,2026-07-17T08:30:00+07:00,SRC-PROP-001,true
CLM-00009,CASE-2026-003,Operations,Operations nên tạo task bổ sung và giữ case ở pending_information.,EVD-00013,supported,passed,Evidence is present and within mock validity window.,RISK-01,2026-07-17T08:30:00+07:00,SRC-PROP-001,true
CLM-00010,CASE-2026-004,Product,Bộ giải pháp giao dịch có thể tiếp tục đánh giá ở bước hiện tại.,EVD-00016,supported,passed,Evidence is present and within mock validity window.,RISK-01,2026-07-17T08:30:00+07:00,SRC-PROP-001,true
CLM-00011,CASE-2026-004,Legal,Chưa đủ căn cứ kết luận đủ điều kiện do còn thiếu hồ sơ trọng yếu.,EVD-00017,partial,escalate,Missing or invalid mandatory evidence.,RISK-01,2026-07-17T08:30:00+07:00,SRC-PROP-001,true
CLM-00012,CASE-2026-004,Operations,Operations nên tạo task bổ sung và giữ case ở pending_information.,EVD-00018,supported,passed,Evidence is present and within mock validity window.,RISK-01,2026-07-17T08:30:00+07:00,SRC-PROP-001,true
CLM-00013,CASE-2026-005,Product,Bộ giải pháp giao dịch có thể tiếp tục đánh giá ở bước hiện tại.,EVD-00021,supported,passed,Evidence is present and within mock validity window.,RISK-01,2026-07-17T08:30:00+07:00,SRC-PROP-001,true
CLM-00014,CASE-2026-005,Legal,Các kiểm tra pháp lý cơ bản đã có evidence mô phỏng hỗ trợ.,EVD-00022,supported,passed,Evidence is present and within mock validity window.,RISK-01,2026-07-17T08:30:00+07:00,SRC-PROP-001,true
CLM-00015,CASE-2026-005,Operations,Operations có thể chuẩn bị action tiếp theo sau khi qua approval gate.,EVD-00023,supported,passed,Evidence is present and within mock validity window.,RISK-01,2026-07-17T08:30:00+07:00,SRC-PROP-001,true
CLM-00016,CASE-2026-006,Product,Bộ giải pháp giao dịch có thể tiếp tục đánh giá ở bước hiện tại.,EVD-00026,supported,passed,Evidence is present and within mock validity window.,RISK-01,2026-07-17T08:30:00+07:00,SRC-PROP-001,true
CLM-00017,CASE-2026-006,Legal,Các kiểm tra pháp lý cơ bản đã có evidence mô phỏng hỗ trợ.,EVD-00027,supported,passed,Evidence is present and within mock validity window.,RISK-01,2026-07-17T08:30:00+07:00,SRC-PROP-001,true
CLM-00018,CASE-2026-006,Operations,Operations có thể chuẩn bị action tiếp theo sau khi qua approval gate.,EVD-00028,supported,passed,Evidence is present and within mock validity window.,RISK-01,2026-07-17T08:30:00+07:00,SRC-PROP-001,true
CLM-00019,CASE-2026-007,Product,Bộ giải pháp giao dịch có thể tiếp tục đánh giá ở bước hiện tại.,EVD-00031,supported,passed,Evidence is present and within mock validity window.,RISK-01,2026-07-17T08:30:00+07:00,SRC-PROP-001,true
CLM-00020,CASE-2026-007,Legal,Các kiểm tra pháp lý cơ bản đã có evidence mô phỏng hỗ trợ.,EVD-00032,supported,passed,Evidence is present and within mock validity window.,RISK-01,2026-07-17T08:30:00+07:00,SRC-PROP-001,true
CLM-00021,CASE-2026-007,Operations,Operations có thể chuẩn bị action tiếp theo sau khi qua approval gate.,EVD-00033,supported,passed,Evidence is present and within mock validity window.,RISK-01,2026-07-17T08:30:00+07:00,SRC-PROP-001,true
CLM-00022,CASE-2026-008,Product,Bộ giải pháp giao dịch có thể tiếp tục đánh giá ở bước hiện tại.,EVD-00036,supported,passed,Evidence is present and within mock validity window.,RISK-01,2026-07-17T08:30:00+07:00,SRC-PROP-001,true
CLM-00023,CASE-2026-008,Legal,Các kiểm tra pháp lý cơ bản đã có evidence mô phỏng hỗ trợ.,EVD-00037,supported,passed,Evidence is present and within mock validity window.,RISK-01,2026-07-17T08:30:00+07:00,SRC-PROP-001,true
CLM-00024,CASE-2026-008,Operations,Operations có thể chuẩn bị action tiếp theo sau khi qua approval gate.,EVD-00038,supported,passed,Evidence is present and within mock validity window.,RISK-01,2026-07-17T08:30:00+07:00,SRC-PROP-001,true
CLM-00025,CASE-2026-009,Product,Bộ giải pháp giao dịch có thể tiếp tục đánh giá ở bước hiện tại.,EVD-00041,supported,passed,Evidence is present and within mock validity window.,RISK-01,2026-07-17T08:30:00+07:00,SRC-PROP-001,true
CLM-00026,CASE-2026-009,Legal,Chưa đủ căn cứ kết luận đủ điều kiện do còn thiếu hồ sơ trọng yếu.,EVD-00042,partial,passed,Missing or invalid mandatory evidence.,RISK-01,2026-07-17T08:30:00+07:00,SRC-PROP-001,true
CLM-00027,CASE-2026-009,Operations,Operations nên tạo task bổ sung và giữ case ở pending_information.,EVD-00043,supported,passed,Evidence is present and within mock validity window.,RISK-01,2026-07-17T08:30:00+07:00,SRC-PROP-001,true
CLM-00028,CASE-2026-010,Product,Bộ giải pháp giao dịch có thể tiếp tục đánh giá ở bước hiện tại.,EVD-00046,supported,passed,Evidence is present and within mock validity window.,RISK-01,2026-07-17T08:30:00+07:00,SRC-PROP-001,true
CLM-00029,CASE-2026-010,Legal,Các kiểm tra pháp lý cơ bản đã có evidence mô phỏng hỗ trợ.,EVD-00047,supported,passed,Evidence is present and within mock validity window.,RISK-01,2026-07-17T08:30:00+07:00,SRC-PROP-001,true
CLM-00030,CASE-2026-010,Operations,Operations có thể chuẩn bị action tiếp theo sau khi qua approval gate.,EVD-00048,supported,passed,Evidence is present and within mock validity window.,RISK-01,2026-07-17T08:30:00+07:00,SRC-PROP-001,true
CLM-00031,CASE-2026-011,Product,Bộ giải pháp giao dịch có thể tiếp tục đánh giá ở bước hiện tại.,EVD-00051,supported,passed,Evidence is present and within mock validity window.,RISK-01,2026-07-17T08:30:00+07:00,SRC-PROP-001,true
CLM-00032,CASE-2026-011,Legal,Các kiểm tra pháp lý cơ bản đã có evidence mô phỏng hỗ trợ.,EVD-00052,supported,passed,Evidence is present and within mock validity window.,RISK-01,2026-07-17T08:30:00+07:00,SRC-PROP-001,true
CLM-00033,CASE-2026-011,Operations,Operations có thể chuẩn bị action tiếp theo sau khi qua approval gate.,EVD-00053,supported,passed,Evidence is present and within mock validity window.,RISK-01,2026-07-17T08:30:00+07:00,SRC-PROP-001,true
CLM-00034,CASE-2026-012,Product,Bộ giải pháp giao dịch có thể tiếp tục đánh giá ở bước hiện tại.,EVD-00056,supported,passed,Evidence is present and within mock validity window.,RISK-01,2026-07-17T08:30:00+07:00,SRC-PROP-001,true
CLM-00035,CASE-2026-012,Legal,Chưa đủ căn cứ kết luận đủ điều kiện do còn thiếu hồ sơ trọng yếu.,EVD-00057,partial,passed,Missing or invalid mandatory evidence.,RISK-01,2026-07-17T08:30:00+07:00,SRC-PROP-001,true
CLM-00036,CASE-2026-012,Operations,Operations nên tạo task bổ sung và giữ case ở pending_information.,EVD-00058,supported,passed,Evidence is present and within mock validity window.,RISK-01,2026-07-17T08:30:00+07:00,SRC-PROP-001,true