evidence_id,case_id,evidence_type,source_document_id,source_id,page_no,section,excerpt,retrieved_at,validity_status,confidence_score,permission_scope,hash_stub,synthetic_flag
EVD-00001,CASE-2026-001,document_excerpt,DOC-00001,SRC-SYN-001,1,business_registration,Synthetic excerpt: business_registration for CUST-0001; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000001,true
EVD-00002,CASE-2026-001,document_excerpt,DOC-00002,SRC-SYN-001,2,representative_id,Synthetic excerpt: representative_id for CUST-0001; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000002,true
EVD-00003,CASE-2026-001,document_excerpt,DOC-00003,SRC-SYN-001,1,bank_statement,Synthetic excerpt: bank_statement for CUST-0001; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000003,true
EVD-00004,CASE-2026-001,document_excerpt,DOC-00004,SRC-SYN-001,2,board_resolution,Synthetic excerpt: board_resolution for CUST-0001; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000004,true
EVD-00005,CASE-2026-001,policy_excerpt,,SRC-FATF-001,2,beneficial_ownership,"Synthetic policy excerpt: beneficial ownership information must be adequate, accurate, and up to date before high-risk action proceeds.",2026-07-17T08:10:00+07:00,valid,0.93,legal_risk,hash-evidence-000005,true
EVD-00006,CASE-2026-002,document_excerpt,DOC-00007,SRC-SYN-001,1,business_registration,Synthetic excerpt: business_registration for CUST-0002; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000006,true
EVD-00007,CASE-2026-002,document_excerpt,DOC-00008,SRC-SYN-001,2,representative_id,Synthetic excerpt: representative_id for CUST-0002; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000007,true
EVD-00008,CASE-2026-002,document_excerpt,DOC-00009,SRC-SYN-001,1,ubo_declaration,Synthetic excerpt: ubo_declaration for CUST-0002; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000008,true
EVD-00009,CASE-2026-002,document_excerpt,DOC-00010,SRC-SYN-001,2,financial_statement,Synthetic excerpt: financial_statement for CUST-0002; status=verified; expiry=2027-03-31.,2026-07-17T08:00:00+07:00,valid,0.96,legal_credit_only,hash-evidence-000009,true
EVD-00010,CASE-2026-002,policy_excerpt,,SRC-FATF-001,2,beneficial_ownership,"Synthetic policy excerpt: beneficial ownership information must be adequate, accurate, and up to date before high-risk action proceeds.",2026-07-17T08:10:00+07:00,valid,0.93,legal_risk,hash-evidence-000010,true
EVD-00011,CASE-2026-003,document_excerpt,DOC-00015,SRC-SYN-001,1,business_registration,Synthetic excerpt: business_registration for CUST-0003; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000011,true
EVD-00012,CASE-2026-003,document_excerpt,DOC-00016,SRC-SYN-001,2,representative_id,Synthetic excerpt: representative_id for CUST-0003; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000012,true
EVD-00013,CASE-2026-003,document_excerpt,DOC-00017,SRC-SYN-001,1,ubo_declaration,Synthetic excerpt: ubo_declaration for CUST-0003; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000013,true
EVD-00014,CASE-2026-003,document_excerpt,DOC-00018,SRC-SYN-001,2,financial_statement,Synthetic excerpt: financial_statement for CUST-0003; status=verified; expiry=2027-03-31.,2026-07-17T08:00:00+07:00,valid,0.96,legal_credit_only,hash-evidence-000014,true
EVD-00015,CASE-2026-003,policy_excerpt,,SRC-FATF-001,2,beneficial_ownership,"Synthetic policy excerpt: beneficial ownership information must be adequate, accurate, and up to date before high-risk action proceeds.",2026-07-17T08:10:00+07:00,valid,0.93,legal_risk,hash-evidence-000015,true
EVD-00016,CASE-2026-004,document_excerpt,DOC-00023,SRC-SYN-001,1,business_registration,Synthetic excerpt: business_registration for CUST-0004; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000016,true
EVD-00017,CASE-2026-004,document_excerpt,DOC-00024,SRC-SYN-001,2,representative_id,Synthetic excerpt: representative_id for CUST-0004; status=expired; expiry=2026-06-30.,2026-07-17T08:00:00+07:00,needs_review,0.61,ops_legal,hash-evidence-000017,true
EVD-00018,CASE-2026-004,document_excerpt,DOC-00025,SRC-SYN-001,1,ubo_declaration,Synthetic excerpt: ubo_declaration for CUST-0004; status=needs_manual_review; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,needs_review,0.61,ops_legal,hash-evidence-000018,true
EVD-00019,CASE-2026-004,document_excerpt,DOC-00026,SRC-SYN-001,2,financial_statement,Synthetic excerpt: financial_statement for CUST-0004; status=verified; expiry=2027-03-31.,2026-07-17T08:00:00+07:00,valid,0.96,legal_credit_only,hash-evidence-000019,true
EVD-00020,CASE-2026-004,policy_excerpt,,SRC-FATF-001,2,beneficial_ownership,"Synthetic policy excerpt: beneficial ownership information must be adequate, accurate, and up to date before high-risk action proceeds.",2026-07-17T08:10:00+07:00,valid,0.93,legal_risk,hash-evidence-000020,true
EVD-00021,CASE-2026-005,document_excerpt,DOC-00031,SRC-SYN-001,1,business_registration,Synthetic excerpt: business_registration for CUST-0005; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000021,true
EVD-00022,CASE-2026-005,document_excerpt,DOC-00032,SRC-SYN-001,2,representative_id,Synthetic excerpt: representative_id for CUST-0005; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000022,true
EVD-00023,CASE-2026-005,document_excerpt,DOC-00033,SRC-SYN-001,1,ubo_declaration,Synthetic excerpt: ubo_declaration for CUST-0005; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000023,true
EVD-00024,CASE-2026-005,document_excerpt,DOC-00034,SRC-SYN-001,2,financial_statement,Synthetic excerpt: financial_statement for CUST-0005; status=verified; expiry=2027-03-31.,2026-07-17T08:00:00+07:00,valid,0.96,legal_credit_only,hash-evidence-000024,true
EVD-00025,CASE-2026-005,policy_excerpt,,SRC-FATF-001,2,beneficial_ownership,"Synthetic policy excerpt: beneficial ownership information must be adequate, accurate, and up to date before high-risk action proceeds.",2026-07-17T08:10:00+07:00,valid,0.93,legal_risk,hash-evidence-000025,true
EVD-00026,CASE-2026-006,document_excerpt,DOC-00039,SRC-SYN-001,1,business_registration,Synthetic excerpt: business_registration for CUST-0006; status=expired; expiry=2026-06-30.,2026-07-17T08:00:00+07:00,needs_review,0.61,ops_legal,hash-evidence-000026,true
EVD-00027,CASE-2026-006,document_excerpt,DOC-00040,SRC-SYN-001,2,representative_id,Synthetic excerpt: representative_id for CUST-0006; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000027,true
EVD-00028,CASE-2026-006,document_excerpt,DOC-00041,SRC-SYN-001,1,ubo_declaration,Synthetic excerpt: ubo_declaration for CUST-0006; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000028,true
EVD-00029,CASE-2026-006,document_excerpt,DOC-00042,SRC-SYN-001,2,financial_statement,Synthetic excerpt: financial_statement for CUST-0006; status=verified; expiry=2027-03-31.,2026-07-17T08:00:00+07:00,valid,0.96,legal_credit_only,hash-evidence-000029,true
EVD-00030,CASE-2026-006,policy_excerpt,,SRC-FATF-001,2,beneficial_ownership,"Synthetic policy excerpt: beneficial ownership information must be adequate, accurate, and up to date before high-risk action proceeds.",2026-07-17T08:10:00+07:00,valid,0.93,legal_risk,hash-evidence-000030,true
EVD-00031,CASE-2026-007,document_excerpt,DOC-00047,SRC-SYN-001,1,business_registration,Synthetic excerpt: business_registration for CUST-0007; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000031,true
EVD-00032,CASE-2026-007,document_excerpt,DOC-00048,SRC-SYN-001,2,representative_id,Synthetic excerpt: representative_id for CUST-0007; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000032,true
EVD-00033,CASE-2026-007,document_excerpt,DOC-00049,SRC-SYN-001,1,ubo_declaration,Synthetic excerpt: ubo_declaration for CUST-0007; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000033,true
EVD-00034,CASE-2026-007,document_excerpt,DOC-00050,SRC-SYN-001,2,financial_statement,Synthetic excerpt: financial_statement for CUST-0007; status=verified; expiry=2027-03-31.,2026-07-17T08:00:00+07:00,valid,0.96,legal_credit_only,hash-evidence-000034,true
EVD-00035,CASE-2026-007,policy_excerpt,,SRC-FATF-001,2,beneficial_ownership,"Synthetic policy excerpt: beneficial ownership information must be adequate, accurate, and up to date before high-risk action proceeds.",2026-07-17T08:10:00+07:00,valid,0.93,legal_risk,hash-evidence-000035,true
EVD-00036,CASE-2026-008,document_excerpt,DOC-00055,SRC-SYN-001,1,business_registration,Synthetic excerpt: business_registration for CUST-0008; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000036,true
EVD-00037,CASE-2026-008,document_excerpt,DOC-00056,SRC-SYN-001,2,representative_id,Synthetic excerpt: representative_id for CUST-0008; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000037,true
EVD-00038,CASE-2026-008,document_excerpt,DOC-00057,SRC-SYN-001,1,ubo_declaration,Synthetic excerpt: ubo_declaration for CUST-0008; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000038,true
EVD-00039,CASE-2026-008,document_excerpt,DOC-00058,SRC-SYN-001,2,financial_statement,Synthetic excerpt: financial_statement for CUST-0008; status=verified; expiry=2027-03-31.,2026-07-17T08:00:00+07:00,valid,0.96,legal_credit_only,hash-evidence-000039,true
EVD-00040,CASE-2026-008,policy_excerpt,,SRC-FATF-001,2,beneficial_ownership,"Synthetic policy excerpt: beneficial ownership information must be adequate, accurate, and up to date before high-risk action proceeds.",2026-07-17T08:10:00+07:00,valid,0.93,legal_risk,hash-evidence-000040,true
EVD-00041,CASE-2026-009,document_excerpt,DOC-00063,SRC-SYN-001,1,business_registration,Synthetic excerpt: business_registration for CUST-0009; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000041,true
EVD-00042,CASE-2026-009,document_excerpt,DOC-00064,SRC-SYN-001,2,representative_id,Synthetic excerpt: representative_id for CUST-0009; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000042,true
EVD-00043,CASE-2026-009,document_excerpt,DOC-00065,SRC-SYN-001,1,ubo_declaration,Synthetic excerpt: ubo_declaration for CUST-0009; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000043,true
EVD-00044,CASE-2026-009,document_excerpt,DOC-00066,SRC-SYN-001,2,financial_statement,Synthetic excerpt: financial_statement for CUST-0009; status=verified; expiry=2027-03-31.,2026-07-17T08:00:00+07:00,valid,0.96,legal_credit_only,hash-evidence-000044,true
EVD-00045,CASE-2026-009,policy_excerpt,,SRC-FATF-001,2,beneficial_ownership,"Synthetic policy excerpt: beneficial ownership information must be adequate, accurate, and up to date before high-risk action proceeds.",2026-07-17T08:10:00+07:00,valid,0.93,legal_risk,hash-evidence-000045,true
EVD-00046,CASE-2026-010,document_excerpt,DOC-00069,SRC-SYN-001,1,business_registration,Synthetic excerpt: business_registration for CUST-0010; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000046,true
EVD-00047,CASE-2026-010,document_excerpt,DOC-00070,SRC-SYN-001,2,representative_id,Synthetic excerpt: representative_id for CUST-0010; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000047,true
EVD-00048,CASE-2026-010,document_excerpt,DOC-00071,SRC-SYN-001,1,ubo_declaration,Synthetic excerpt: ubo_declaration for CUST-0010; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000048,true
EVD-00049,CASE-2026-010,document_excerpt,DOC-00072,SRC-SYN-001,2,financial_statement,Synthetic excerpt: financial_statement for CUST-0010; status=verified; expiry=2027-03-31.,2026-07-17T08:00:00+07:00,valid,0.96,legal_credit_only,hash-evidence-000049,true
EVD-00050,CASE-2026-010,policy_excerpt,,SRC-FATF-001,2,beneficial_ownership,"Synthetic policy excerpt: beneficial ownership information must be adequate, accurate, and up to date before high-risk action proceeds.",2026-07-17T08:10:00+07:00,valid,0.93,legal_risk,hash-evidence-000050,true
EVD-00051,CASE-2026-011,document_excerpt,DOC-00077,SRC-SYN-001,1,business_registration,Synthetic excerpt: business_registration for CUST-0011; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000051,true
EVD-00052,CASE-2026-011,document_excerpt,DOC-00078,SRC-SYN-001,2,representative_id,Synthetic excerpt: representative_id for CUST-0011; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000052,true
EVD-00053,CASE-2026-011,document_excerpt,DOC-00079,SRC-SYN-001,1,ubo_declaration,Synthetic excerpt: ubo_declaration for CUST-0011; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000053,true
EVD-00054,CASE-2026-011,document_excerpt,DOC-00080,SRC-SYN-001,2,financial_statement,Synthetic excerpt: financial_statement for CUST-0011; status=verified; expiry=2027-03-31.,2026-07-17T08:00:00+07:00,valid,0.96,legal_credit_only,hash-evidence-000054,true
EVD-00055,CASE-2026-011,policy_excerpt,,SRC-FATF-001,2,beneficial_ownership,"Synthetic policy excerpt: beneficial ownership information must be adequate, accurate, and up to date before high-risk action proceeds.",2026-07-17T08:10:00+07:00,valid,0.93,legal_risk,hash-evidence-000055,true
EVD-00056,CASE-2026-012,document_excerpt,DOC-00085,SRC-SYN-001,1,business_registration,Synthetic excerpt: business_registration for CUST-0012; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000056,true
EVD-00057,CASE-2026-012,document_excerpt,DOC-00086,SRC-SYN-001,2,representative_id,Synthetic excerpt: representative_id for CUST-0012; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000057,true
EVD-00058,CASE-2026-012,document_excerpt,DOC-00087,SRC-SYN-001,1,bank_statement,Synthetic excerpt: bank_statement for CUST-0012; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000058,true
EVD-00059,CASE-2026-012,document_excerpt,DOC-00088,SRC-SYN-001,2,authorized_signer_list,Synthetic excerpt: authorized_signer_list for CUST-0012; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000059,true
EVD-00060,CASE-2026-012,policy_excerpt,,SRC-FATF-001,2,beneficial_ownership,"Synthetic policy excerpt: beneficial ownership information must be adequate, accurate, and up to date before high-risk action proceeds.",2026-07-17T08:10:00+07:00,valid,0.93,legal_risk,hash-evidence-000060,true